emp_no,title,salary
11070,Engineer,40000
11071,Engineer,40000
11075,Senior Engineer,76877
11077,Senior Staff,42983
11079,Engineer,46239
11081,Senior Staff,65686
11083,Senior Staff,90972
11084,Engineer,52121
11085,Senior Engineer,66437
11087,Senior Engineer,78081
11089,Senior Staff,41004
11091,Engineer,76253
11092,Staff,78588
11098,Engineer,40000
11100,Senior Staff,40000
11106,Assistant Engineer,71446
11110,Staff,43063
11111,Assistant Engineer,49777
11112,Staff,40000
11113,Senior Staff,66401
11114,Staff,42370
11119,Engineer,40000
11121,Engineer,40000
11130,Senior Staff,43172
11132,Engineer,40000
11133,Technique Leader,40000
11134,Engineer,58731
11137,Engineer,40000
11139,Senior Staff,63596
11143,Engineer,63264
11144,Senior Staff,56144
11145,Engineer,50480
11146,Senior Staff,96019
11147,Engineer,40000
11148,Senior Staff,56344
11156,Staff,42448
11158,Engineer,40000
11162,Engineer,69873
11168,Senior Staff,72944
11170,Senior Engineer,44531
11174,Engineer,45806
11177,Senior Engineer,40000
11180,Engineer,40000
11181,Engineer,40000
11185,Senior Staff,40000
11186,Engineer,40000
11189,Senior Staff,71798
11192,Engineer,40000
11195,Senior Engineer,52089
11197,Senior Staff,88741
11201,Staff,49454
11203,Senior Staff,68049
11204,Technique Leader,40000
11206,Staff,68802
11207,Engineer,49728
11208,Technique Leader,83660
11211,Senior Engineer,72668
11213,Technique Leader,40000
11217,Senior Engineer,40000
11218,Technique Leader,40000
11221,Engineer,47184
11229,Engineer,48214
11232,Senior Staff,43863
11233,Engineer,46070
11240,Assistant Engineer,61739
11243,Assistant Engineer,47598
11249,Assistant Engineer,43324
11251,Senior Staff,69432
11253,Engineer,40000
11254,Staff,50562
11258,Senior Staff,40000
11266,Engineer,40000
11267,Senior Engineer,65990
11268,Engineer,40000
11274,Staff,40000
11275,Engineer,58382
11288,Senior Staff,60782
11289,Engineer,40000
11290,Engineer,65034
11291,Senior Engineer,54307
11292,Engineer,40000
11294,Assistant Engineer,43768
11295,Senior Staff,66622
11296,Engineer,40000
11297,Engineer,40000
11300,Engineer,44380
11301,Senior Staff,40000
11302,Staff,52934
11315,Staff,84316
11317,Senior Staff,40000
11319,Assistant Engineer,40000
11320,Senior Staff,45118
11322,Assistant Engineer,43021
11324,Senior Engineer,54288
11325,Engineer,62458
11326,Engineer,40000
11338,Senior Staff,82210
11339,Senior Engineer,40000
11340,Engineer,48813
11343,Engineer,43306
11347,Engineer,41524
11349,Assistant Engineer,46356
11360,Senior Staff,63466
11365,Engineer,56463
11372,Senior Staff,52023
11373,Senior Staff,45912
11376,Senior Staff,46964
11380,Assistant Engineer,53345
11385,Engineer,40000
11386,Engineer,47726
11387,Engineer,41824
11393,Engineer,40000
11396,Engineer,48918
11398,Senior Staff,44625
11401,Staff,52021
11404,Technique Leader,42907
11406,Senior Staff,71834
11410,Engineer,45665
11414,Senior Staff,76725
11415,Engineer,40000
11417,Technique Leader,74114
11418,Senior Staff,40000
11420,Senior Staff,40000
11421,Engineer,52416
11423,Staff,43947
11425,Senior Engineer,40000
11428,Engineer,40000
11431,Senior Staff,44804
11441,Senior Staff,67352
11446,Engineer,40000
11449,Engineer,61434
11451,Senior Engineer,61848
11452,Senior Staff,52083
11459,Senior Staff,40000
11460,Engineer,45712
11461,Engineer,49398
11468,Staff,85983
11469,Engineer,44625
11474,Engineer,59016
11476,Staff,56449
11477,Engineer,40000
11479,Staff,78157
11501,Senior Staff,48608
11503,Engineer,56928
11506,Staff,89747
11509,Engineer,40000
11513,Senior Staff,82525
11515,Staff,70182
11518,Senior Staff,40000
11519,Senior Staff,61444
11521,Staff,67809
11523,Assistant Engineer,64203
11524,Senior Engineer,41081
11526,Senior Staff,67591
11527,Staff,60212
11528,Technique Leader,44026
11531,Technique Leader,53370
11533,Technique Leader,40000
11537,Senior Staff,96023
11540,Engineer,70043
11554,Staff,46065
11555,Senior Staff,40000
11562,Engineer,82255
11567,Senior Staff,86261
11568,Engineer,54673
11573,Engineer,46194
11575,Assistant Engineer,50896
11577,Engineer,40000
11578,Engineer,40000
11581,Engineer,46950
11587,Senior Engineer,40000
11588,Senior Staff,40000
11589,Engineer,58444
11595,Senior Staff,68224
11596,Staff,54076
11597,Senior Engineer,43205
11602,Senior Staff,58575
11603,Senior Staff,69180
11606,Senior Staff,40000
11607,Engineer,49584
11615,Senior Staff,46591
11616,Assistant Engineer,41900
11624,Engineer,42001
11628,Engineer,43966
11636,Engineer,47900
11640,Senior Engineer,52520
11641,Senior Engineer,53327
11644,Assistant Engineer,80722
11646,Engineer,55411
11647,Engineer,40000
11649,Technique Leader,40000
11660,Senior Staff,65758
11664,Senior Staff,70380
11667,Senior Staff,79814
11673,Technique Leader,40000
11676,Engineer,43310
11681,Engineer,40000
11684,Senior Staff,68753
11686,Senior Staff,40000
11690,Staff,44420
11693,Senior Engineer,70403
11696,Senior Staff,51633
11705,Senior Staff,79701
11708,Staff,68112
11713,Engineer,53387
11732,Senior Engineer,40000
11733,Engineer,46092
11735,Senior Staff,40000
11736,Senior Engineer,44127
11737,Assistant Engineer,48832
11738,Engineer,58432
11746,Senior Staff,55951
11747,Senior Staff,90239
11748,Engineer,54491
11751,Senior Staff,40000
11755,Senior Staff,56874
11756,Engineer,59493
11763,Engineer,40000
11764,Engineer,64875
11765,Senior Staff,40000
11769,Senior Staff,40000
11770,Engineer,40000
11772,Engineer,61295
11774,Engineer,40000
11778,Engineer,40000
11779,Staff,40000
11791,Senior Engineer,40000
11797,Senior Staff,88050
11801,Senior Staff,67265
11805,Assistant Engineer,40000
11807,Technique Leader,40000
11810,Senior Engineer,41256
11811,Senior Staff,52695
11813,Staff,94687
11814,Staff,40000
11817,Senior Staff,50638
11821,Senior Engineer,50404
11822,Staff,67396
11823,Senior Engineer,72637
11829,Assistant Engineer,40000
11832,Engineer,40000
11836,Senior Staff,40000
11838,Staff,68674
11841,Staff,90296
11842,Senior Staff,40000
11844,Engineer,78049
11846,Engineer,53448
11847,Senior Engineer,64449
11853,Senior Staff,61941
11857,Senior Staff,94805
11862,Engineer,46011
11864,Staff,52517
11868,Engineer,48349
11869,Engineer,62968
11871,Engineer,67424
11872,Senior Staff,43159
11876,Engineer,45372
11877,Senior Staff,50777
11881,Senior Staff,76541
11883,Engineer,58135
11888,Senior Staff,53720
11894,Senior Engineer,56198
11896,Technique Leader,40000
11897,Senior Staff,80049
11906,Engineer,81324
11911,Engineer,40000
11915,Engineer,58042
11917,Engineer,40000
11926,Engineer,41612
11931,Senior Staff,73369
11933,Engineer,56130
11938,Staff,40000
11939,Technique Leader,64815
11940,Assistant Engineer,60193
11944,Senior Engineer,52061
11945,Staff,53056
11948,Engineer,49929
11949,Technique Leader,40000
11951,Assistant Engineer,40000
11965,Engineer,57709
11972,Senior Staff,52908
11980,Staff,58241
11983,Engineer,40000
11987,Senior Staff,40000
11988,Engineer,57652
11989,Technique Leader,40000
11993,Senior Staff,56505
11994,Senior Staff,49761
11997,Staff,40000
12007,Engineer,40000
12008,Engineer,68535
12011,Senior Staff,85833
12015,Staff,42853
12021,Engineer,40000
12023,Technique Leader,40000
12024,Staff,65580
12025,Staff,62126
12028,Engineer,51314
12030,Staff,40000
12033,Engineer,49992
12034,Staff,40148
12036,Senior Staff,67143
12037,Senior Staff,47805
12040,Senior Staff,64813
12043,Staff,49009
12044,Senior Engineer,40000
12047,Assistant Engineer,52051
12050,Assistant Engineer,46704
12052,Technique Leader,40000
12053,Senior Engineer,48319
12054,Staff,67400
12055,Staff,60201
12060,Technique Leader,40000
12062,Senior Staff,44199
12063,Engineer,56022
12069,Assistant Engineer,51928
12070,Technique Leader,50233
12076,Senior Staff,75381
12077,Engineer,50388
12080,Senior Staff,47946
12082,Senior Staff,72118
12087,Engineer,45432
12089,Senior Staff,46288
12090,Engineer,46269
12091,Senior Engineer,40000
12092,Senior Staff,40000
12093,Engineer,40000
12094,Senior Staff,44788
12095,Engineer,57978
12099,Senior Staff,104610
12102,Staff,90853
12103,Staff,56188
12104,Senior Engineer,43465
12112,Senior Staff,76538
12114,Staff,40000
12122,Engineer,46398
12123,Senior Staff,64879
12125,Engineer,41215
12128,Staff,81527
12138,Engineer,40000
12140,Senior Staff,40000
12148,Assistant Engineer,42040
12149,Senior Staff,109934
12159,Senior Engineer,61210
12160,Senior Staff,60391
12164,Engineer,43366
12165,Senior Engineer,41951
12168,Senior Staff,40000
12172,Senior Staff,40000
12173,Senior Engineer,58321
12174,Senior Engineer,40000
12183,Engineer,40000
12186,Senior Staff,70221
12190,Senior Engineer,40000
12191,Engineer,45307
12192,Engineer,41625
12205,Senior Engineer,40000
12206,Assistant Engineer,40000
12210,Senior Staff,40000
12213,Senior Staff,79834
12216,Engineer,40000
12218,Engineer,40000
12219,Senior Staff,57507
12221,Engineer,56736
12222,Senior Staff,55840
12223,Engineer,54459
12230,Engineer,53692
12231,Senior Engineer,40000
12235,Staff,100755
12242,Assistant Engineer,46911
12247,Technique Leader,59183
12249,Engineer,70099
12250,Senior Engineer,61573
12254,Engineer,44848
12256,Senior Staff,40000
12258,Engineer,40748
12264,Engineer,51816
12269,Engineer,40000
12270,Senior Staff,52840
12272,Senior Staff,43811
12273,Senior Staff,90736
12274,Engineer,40000
12276,Engineer,59844
12281,Engineer,45417
12282,Engineer,40000
12291,Senior Staff,67506
12298,Senior Engineer,62015
12303,Senior Staff,40000
12308,Senior Staff,58741
12311,Senior Engineer,40000
12312,Assistant Engineer,52344
12316,Assistant Engineer,46261
12317,Staff,40000
12327,Engineer,67449
12328,Staff,51299
12335,Senior Staff,40000
12338,Staff,46270
12339,Staff,40000
12341,Engineer,40000
12343,Senior Staff,52134
12345,Engineer,42222
12351,Engineer,67969
12355,Engineer,70724
12364,Assistant Engineer,42337
12365,Engineer,40000
12366,Staff,40000
12368,Senior Staff,45415
12373,Senior Staff,75986
12379,Technique Leader,43508
12380,Staff,40000
12381,Senior Staff,42211
12388,Senior Engineer,40000
12394,Engineer,40000
12395,Senior Staff,66909
12399,Senior Staff,85582
12407,Engineer,40000
12411,Senior Staff,97610
12413,Engineer,53179
12415,Staff,53615
12417,Senior Engineer,67342
12421,Engineer,52691
12422,Senior Staff,71376
12426,Technique Leader,40000
12427,Senior Staff,40000
12434,Engineer,40000
12438,Senior Staff,109440
12450,Engineer,40000
12451,Engineer,40000
12452,Engineer,40000
12454,Staff,41347
12464,Staff,50448
12466,Senior Staff,65175
12468,Staff,41627
12470,Engineer,42070
12475,Engineer,40000
12478,Senior Staff,50404
12480,Staff,62415
12482,Engineer,45647
12487,Senior Staff,40000
12488,Engineer,40000
12489,Senior Engineer,63306
12490,Engineer,40000
12492,Senior Engineer,59589
12493,Senior Engineer,40000
12497,Senior Staff,81191
12499,Senior Staff,69706
12501,Senior Staff,76082
12502,Senior Engineer,40000
12504,Engineer,40000
12505,Senior Staff,40423
12506,Assistant Engineer,50229
12509,Senior Staff,40000
12514,Engineer,54241
12515,Engineer,50655
12520,Engineer,40000
12522,Technique Leader,47733
12523,Senior Staff,94760
12524,Engineer,42824
12528,Senior Staff,40000
12534,Senior Engineer,66715
12537,Senior Staff,85107
12540,Senior Staff,40000
12541,Senior Staff,93105
12542,Senior Staff,44176
12551,Engineer,40000
12552,Staff,91393
12553,Senior Staff,40000
12555,Assistant Engineer,68051
12557,Senior Engineer,41840
12558,Senior Engineer,40000
12563,Engineer,40000
12564,Staff,76772
12568,Engineer,40000
12571,Assistant Engineer,53163
12574,Engineer,66284
12586,Engineer,50972
12588,Engineer,49125
12589,Engineer,59441
12590,Senior Staff,72208
12596,Senior Staff,40000
12597,Senior Staff,63589
12601,Assistant Engineer,41714
12603,Staff,43168
12608,Senior Staff,40000
12612,Staff,92187
12617,Senior Staff,55663
12623,Senior Staff,79700
12626,Assistant Engineer,61375
12630,Senior Staff,41052
12635,Engineer,40000
12636,Senior Staff,40000
12637,Senior Staff,44370
12638,Engineer,56677
12639,Engineer,40000
12642,Senior Staff,68271
12644,Engineer,40000
12645,Staff,63135
12651,Senior Staff,75150
12656,Senior Staff,70030
12662,Assistant Engineer,69016
12663,Technique Leader,49966
12664,Staff,40000
12665,Staff,68848
12666,Engineer,40000
12670,Engineer,45281
12672,Senior Engineer,54041
12678,Engineer,44529
12680,Staff,46321
12687,Staff,78376
12689,Engineer,59689
12691,Engineer,48493
12694,Engineer,53019
12697,Senior Staff,40000
12707,Staff,53664
12709,Engineer,45510
12715,Staff,40000
12717,Staff,53194
12721,Engineer,70155
12722,Senior Staff,62325
12725,Senior Staff,40000
12726,Senior Engineer,61177
12729,Engineer,51796
12730,Technique Leader,40000
12731,Senior Staff,40000
12732,Senior Staff,74436
12734,Senior Engineer,40000
12746,Engineer,63044
12747,Technique Leader,40000
12748,Engineer,40000
12753,Engineer,47071
12754,Engineer,56137
12755,Senior Staff,40196
12758,Staff,51525
12759,Senior Staff,49963
12761,Senior Staff,62465
12768,Engineer,44107
12769,Engineer,40000
12770,Senior Staff,55103
12773,Engineer,65556
12774,Engineer,40000
12775,Assistant Engineer,69805
12777,Senior Staff,50672
12785,Senior Engineer,68680
12786,Engineer,51030
12789,Engineer,41358
12790,Senior Staff,87760
12795,Senior Staff,56969
12796,Engineer,40000
12798,Senior Staff,81145
12799,Senior Staff,42816
12803,Senior Staff,91789
12807,Senior Engineer,48331
12810,Technique Leader,46737
12814,Technique Leader,46936
12815,Senior Staff,65073
12816,Engineer,66194
12819,Engineer,48455
12821,Engineer,46727
12825,Senior Engineer,40000
12828,Staff,85769
12829,Engineer,51521
12831,Engineer,40000
12840,Engineer,40000
12843,Engineer,40000
12846,Senior Staff,63962
12848,Engineer,40000
12851,Staff,64013
12853,Senior Staff,47160
12855,Senior Staff,40000
12857,Senior Engineer,52646
12863,Engineer,62803
12865,Senior Staff,64679
12868,Senior Engineer,40000
12869,Staff,61803
12871,Staff,41100
12872,Senior Staff,56040
12876,Engineer,42277
12879,Engineer,40000
12881,Staff,66390
12885,Senior Engineer,40000
12887,Engineer,40000
12888,Senior Staff,41673
12889,Engineer,58901
12890,Senior Staff,66803
12893,Senior Staff,50803
12895,Senior Engineer,40000
12899,Senior Staff,40000
12905,Engineer,58659
12910,Staff,69301
12915,Senior Staff,55723
12922,Senior Staff,69441
12923,Engineer,40000
12926,Senior Staff,68314
12934,Engineer,47274
12936,Technique Leader,64450
12937,Staff,59206
12940,Engineer,49760
12941,Engineer,67069
12944,Senior Staff,40000
12949,Engineer,40000
12951,Senior Staff,60566
12960,Engineer,40000
12962,Senior Staff,73680
12969,Senior Staff,59876
12972,Staff,40000
12974,Senior Staff,93034
12977,Engineer,61326
12981,Engineer,40000
12982,Engineer,40000
12983,Staff,57252
12984,Engineer,40000
12986,Senior Engineer,50021
12987,Engineer,56823
13000,Engineer,40000
13002,Senior Engineer,40935
13004,Engineer,40000
13008,Engineer,40000
13011,Technique Leader,51216
13012,Senior Engineer,40000
13013,Engineer,40000
13027,Technique Leader,65940
13030,Senior Staff,51770
13034,Senior Staff,77736
13046,Senior Staff,40000
13047,Engineer,52323
13048,Senior Engineer,40000
13049,Staff,60266
13052,Engineer,42693
13054,Engineer,40000
13062,Technique Leader,55665
13065,Senior Staff,58147
13067,Senior Engineer,40000
13073,Staff,76963
13075,Senior Staff,40000
13076,Engineer,50582
13084,Senior Staff,64106
13086,Senior Staff,40000
13087,Senior Engineer,40000
13093,Staff,75658
13095,Staff,40000
13096,Engineer,52544
13103,Senior Engineer,40000
13108,Senior Staff,40000
13110,Senior Engineer,57941
13113,Staff,66941
13124,Senior Staff,73785
13126,Engineer,40000
13133,Senior Staff,67777
13134,Engineer,51227
13140,Staff,40000
13143,Technique Leader,40000
13144,Senior Staff,52825
13146,Senior Staff,61398
13147,Senior Staff,77429
13149,Assistant Engineer,46791
13150,Technique Leader,40000
13156,Engineer,48285
13159,Staff,54536
13161,Engineer,49733
13165,Engineer,42796
13168,Engineer,49210
13170,Senior Staff,49012
13171,Engineer,40000
13173,Senior Staff,46354
13175,Engineer,65572
13179,Staff,90233
13182,Engineer,46832
13186,Senior Staff,93138
13189,Staff,40000
13192,Technique Leader,43986
13197,Staff,93225
13200,Engineer,50821
13202,Senior Staff,51915
13203,Senior Staff,40000
13204,Assistant Engineer,45177
13206,Staff,44383
13210,Senior Staff,83961
13213,Senior Staff,61131
13216,Staff,40000
13221,Senior Staff,47724
13227,Staff,88669
13232,Technique Leader,40000
13233,Engineer,49414
13235,Engineer,57427
13238,Senior Staff,40000
13240,Engineer,49018
13243,Staff,67269
13246,Staff,83156
13248,Staff,72379
13249,Staff,40000
13250,Assistant Engineer,47829
13252,Staff,55454
13260,Technique Leader,40000
13261,Staff,88361
13263,Senior Staff,61281
13272,Senior Staff,40000
13276,Senior Staff,65836
13282,Senior Staff,45990
13288,Senior Staff,40000
13290,Staff,40000
13291,Engineer,54720
13294,Staff,57991
13299,Staff,40000
13302,Engineer,40000
13303,Staff,63524
13305,Senior Staff,104969
13309,Senior Engineer,40000
13312,Engineer,53718
13315,Engineer,40000
13320,Engineer,47422
13321,Engineer,59560
13329,Senior Staff,96912
13332,Assistant Engineer,40000
13333,Assistant Engineer,50997
13341,Senior Staff,40000
13342,Engineer,59327
13343,Senior Staff,40000
13346,Engineer,40000
13347,Engineer,79839
13349,Senior Staff,66066
13357,Engineer,40000
13359,Senior Engineer,62189
13361,Staff,40000
13368,Staff,52872
13371,Senior Engineer,40000
13373,Senior Staff,82749
13374,Senior Engineer,40000
13378,Technique Leader,64833
13379,Senior Staff,52620
13385,Senior Staff,40000
13386,Technique Leader,91420
13388,Technique Leader,52597
13389,Senior Staff,40000
13390,Engineer,40000
13392,Senior Staff,69221
13394,Senior Staff,44631
13396,Senior Staff,40000
13402,Engineer,40000
13405,Senior Staff,60799
13407,Engineer,60348
13408,Engineer,52479
13412,Staff,56217
13415,Technique Leader,61838
13416,Engineer,40000
13417,Senior Staff,53074
13422,Engineer,59466
13427,Staff,50468
13436,Senior Staff,67296
13439,Assistant Engineer,49283
13442,Senior Staff,40000
13443,Engineer,40000
13445,Engineer,53194
13446,Engineer,64812
13451,Senior Staff,40000
13453,Senior Engineer,52593
13456,Senior Engineer,40000
13457,Engineer,40812
13458,Engineer,41375
13460,Engineer,40000
13463,Engineer,40000
13465,Engineer,49821
13467,Senior Engineer,56977
13472,Engineer,40000
13475,Senior Staff,55431
13479,Staff,82384
13493,Engineer,40000
13500,Senior Engineer,57581
13504,Assistant Engineer,41895
13505,Staff,46130
13520,Engineer,46435
13521,Engineer,40000
13522,Senior Staff,70884
13523,Staff,45333
13524,Senior Staff,52849
13535,Assistant Engineer,40000
13539,Engineer,54246
13540,Staff,82488
13544,Senior Staff,91559
13546,Engineer,50295
13549,Technique Leader,40000
13552,Senior Staff,73346
13554,Senior Staff,49930
13560,Assistant Engineer,40000
13567,Senior Staff,71269
13571,Engineer,61100
13575,Senior Engineer,73636
13576,Senior Staff,73022
13578,Technique Leader,62885
13586,Engineer,40000
13591,Assistant Engineer,40000
13596,Engineer,57320
13598,Engineer,76264
13600,Staff,40000
13605,Senior Staff,70404
13612,Engineer,40000
13617,Engineer,40000
13621,Assistant Engineer,73192
13622,Senior Staff,63460
13624,Senior Staff,40000
13629,Engineer,40000
13630,Engineer,40000
13642,Senior Staff,45456
13643,Engineer,64841
13648,Technique Leader,47723
13651,Engineer,62278
13653,Senior Staff,53242
13660,Staff,50907
13662,Senior Staff,66158
13670,Senior Engineer,40000
13673,Senior Staff,50560
13680,Staff,46968
13683,Engineer,40000
13684,Senior Staff,79100
13685,Engineer,48322
13693,Engineer,40000
13697,Technique Leader,40000
13698,Engineer,57541
13704,Engineer,40000
13708,Engineer,48399
13713,Senior Staff,56608
13719,Senior Engineer,49098
13721,Senior Staff,64754
13727,Staff,50798
13730,Senior Staff,53832
13738,Engineer,48349
13744,Engineer,58206
13745,Engineer,40000
13747,Senior Staff,47752
13758,Senior Staff,66365
13762,Senior Staff,88048
13766,Senior Staff,43748
13768,Staff,40000
13769,Senior Staff,61025
13772,Engineer,57288
13775,Senior Staff,70161
13776,Senior Staff,53362
13786,Senior Staff,74494
13787,Engineer,40000
13788,Assistant Engineer,40000
13792,Senior Staff,59127
13795,Technique Leader,49749
13796,Engineer,50962
13797,Senior Staff,54537
13798,Engineer,41101
13799,Technique Leader,40000
13800,Technique Leader,40000
13801,Staff,64182
13807,Staff,64287
13809,Senior Staff,43735
13811,Engineer,52175
13815,Engineer,40000
13825,Technique Leader,54704
